"target_end_date","target","location","model","location_name","ae","wgt_iw","wgt_pen_u","wgt_pen_l","wis"
2021-04-24,"1 wk ahead inc case","04","CU-select","Arizona",42,115.757142857143,0,6,121.757142857143
2021-04-24,"1 wk ahead inc case","04","JHU_CSSE-DECOM","Arizona",538.007528613222,221.333533148553,76.8582183733175,0,298.191751521871
2021-04-24,"1 wk ahead inc case","04","JHUAPL-Bucky","Arizona",286.681430000001,294.178244285714,0,40.9544900000001,335.132734285714
2021-04-24,"1 wk ahead inc case","04","Karlen-pypm","Arizona",312,244.245,44.5714285714286,0,288.816428571429
2021-04-24,"1 wk ahead inc case","04","KITmetricslab-select_ensemble","Arizona",503.00117809458,162.221720240526,71.8573111563685,0,234.079031396895
2021-04-24,"1 wk ahead inc case","04","LANL-GrowthRate","Arizona",1089.5,218.355178571429,237.928571428571,0,456.28375
2021-04-24,"1 wk ahead inc case","04","RobertWalraven-ESG","Arizona",957.91,358.783571428571,136.844285714286,0,495.627857142857
2021-04-24,"1 wk ahead inc case","04","USC-SI_kJalpha","Arizona",913,118.641849221059,306.229146260026,0,424.870995481084
2021-04-24,"1 wk ahead inc case","04","UVA-Ensemble","Arizona",437.762499297144,342.878669194864,0,62.537499899592,405.416169094456
2021-04-24,"1 wk ahead inc case","05","BPagano-RtDriven","Arkansas",100.03165,120.054959428571,14.2902357142857,0,134.345195142857
2021-04-24,"1 wk ahead inc case","05","CEID-Walk","Arkansas",129.926,60.0698142857143,0,18.5608571428571,78.6306714285714
2021-04-24,"1 wk ahead inc case","05","Covid19Sim-Simulator","Arkansas",454.618388759351,5.50476592882583,332.075034300751,0,337.579800229577
